اسم الموظف,البريد الإلكتروني,الحركة,التاريخ,الوقت
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,14:55:08
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-19,14:55:17
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,14:55:21
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,14:55:25
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,14:56:35
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:00:57
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:01:00
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,15:01:20
faisal ahmad,f@gmail.com,تسجيل خروج,2026-07-19,15:01:26
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,15:01:38
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-19,15:02:27
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:28:01
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-19,15:28:07
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:28:22
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-19,15:28:29
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:39:07
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:42:21
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-19,15:42:22
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-19,15:42:24
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-19,15:42:25
e@gmail.cim,e@gmail.com,تسجيل دخول,2026-07-19,15:42:51
e@gmail.cim,e@gmail.com,تسجيل خروج,2026-07-19,15:42:53
e@gmail.cim,e@gmail.com,تسجيل دخول,2026-07-19,15:42:56
e@gmail.cim,e@gmail.com,تسجيل دخول,2026-07-19,15:42:57
e@gmail.cim,e@gmail.com,تسجيل دخول,2026-07-19,15:42:58
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-19,15:51:48
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,09:29:33
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,09:32:15
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-21,09:32:23
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,09:33:08
ahmad khalil,a@gmail.com,تسجيل دخول,2026-07-21,09:33:09
ahmad khalil,a@gmail.com,تسجيل خروج,2026-07-21,09:33:10
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,10:16:35
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,10:37:44
faisal ahmad,f@gmail.com,تسجيل دخول,2026-07-21,10:37:45
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,10:38:03
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,10:38:20
alaa ahmad,alaa@gmail.com,تسجيل خروج,2026-07-21,10:38:22
alaa ahmad,alaa@gmail.com,تسجيل دخول,2026-07-21,10:39:40
e@gmail.cim,e@gmail.com,تسجيل دخول,2026-07-21,10:48:59
yousef mohammed,yousef@gmail.com,تسجيل دخول,2026-07-21,11:01:26
yousef mohammed,yousef@gmail.com,تسجيل خروج,2026-07-21,11:03:11
